timestamp,agent.name,data.title,rule.description,rule.level,rule.id
"Apr 01, 2026 @ 05:00:00.000",host-018.lab.internal,Routine baseline check #1,FIM scan 0: no drift on host-018.lab.internal.,1,5501
"Apr 01, 2026 @ 05:00:43.000",host-044.lab.internal,LDAP health probe #2,Bind test OK for svc_ro_43 against host-044.lab.internal.,1,2501
"Apr 01, 2026 @ 05:02:29.000",host-003.lab.internal,Routine baseline check #3,FIM scan 149: no drift on host-003.lab.internal.,3,2502
"Apr 01, 2026 @ 05:02:44.000",host-033.lab.internal,Routine baseline check #4,FIM scan 164: no drift on host-033.lab.internal.,1,2501
"Apr 01, 2026 @ 05:04:13.000",host-042.lab.internal,Routine baseline check #5,FIM scan 253: no drift on host-042.lab.internal.,3,2501
"Apr 01, 2026 @ 05:05:54.000",host-038.lab.internal,AV update applied #6,Signature rev 4554 installed on host-038.lab.internal.,1,2502
"Apr 01, 2026 @ 05:06:41.000",host-028.lab.internal,Routine baseline check #7,FIM scan 401: no drift on host-028.lab.internal.,1,5501
"Apr 01, 2026 @ 05:07:36.000",host-022.lab.internal,DHCP lease renewal #8,Client 10.20.56.206 renewed lease; scope vlan-16.,2,5501
"Apr 01, 2026 @ 05:08:01.000",host-023.lab.internal,Routine baseline check #9,FIM scan 481: no drift on host-023.lab.internal.,2,2501
"Apr 01, 2026 @ 05:10:01.000",host-030.lab.internal,DHCP lease renewal #10,Client 10.20.1.101 renewed lease; scope vlan-1.,3,5501
"Apr 01, 2026 @ 05:11:21.000",host-036.lab.internal,Routine baseline check #11,FIM scan 681: no drift on host-036.lab.internal.,2,2501
"Apr 01, 2026 @ 05:12:10.000",host-003.lab.internal,DHCP lease renewal #12,Client 10.20.130.230 renewed lease; scope vlan-10.,2,5501
"Apr 01, 2026 @ 05:13:46.000",host-015.lab.internal,LDAP health probe #13,Bind test OK for svc_ro_826 against host-015.lab.internal.,2,2501
"Apr 01, 2026 @ 05:14:10.000",host-041.lab.internal,AV update applied #14,Signature rev 5050 installed on host-041.lab.internal.,2,2502
"Apr 01, 2026 @ 05:16:08.000",host-023.lab.internal,DHCP lease renewal #15,Client 10.20.168.218 renewed lease; scope vlan-8.,2,5501
"Apr 01, 2026 @ 05:16:46.000",host-035.lab.internal,DHCP lease renewal #16,Client 10.20.6.6 renewed lease; scope vlan-6.,2,5501
"Apr 01, 2026 @ 05:18:31.000",host-025.lab.internal,LDAP health probe #17,Bind test OK for svc_ro_1111 against host-025.lab.internal.,1,2501
"Apr 01, 2026 @ 05:19:17.000",host-004.lab.internal,LDAP health probe #18,Bind test OK for svc_ro_1157 against host-004.lab.internal.,3,2501
"Apr 01, 2026 @ 05:19:58.000",host-018.lab.internal,Routine baseline check #19,FIM scan 1198: no drift on host-018.lab.internal.,2,2502
"Apr 01, 2026 @ 05:20:18.000",host-014.lab.internal,LDAP health probe #20,Bind test OK for svc_ro_1218 against host-014.lab.internal.,3,2501
"Apr 01, 2026 @ 05:21:53.000",host-010.lab.internal,AV update applied #21,Signature rev 5513 installed on host-010.lab.internal.,2,2502
"Apr 01, 2026 @ 05:22:38.000",host-038.lab.internal,LDAP health probe #22,Bind test OK for svc_ro_1358 against host-038.lab.internal.,1,2501
"Apr 01, 2026 @ 05:23:44.000",host-009.lab.internal,AV update applied #23,Signature rev 5624 installed on host-009.lab.internal.,2,2502
"Apr 01, 2026 @ 05:25:01.000",host-008.lab.internal,AV update applied #24,Signature rev 5701 installed on host-008.lab.internal.,1,2502
"Apr 01, 2026 @ 05:25:32.000",host-039.lab.internal,LDAP health probe #25,Bind test OK for svc_ro_1532 against host-039.lab.internal.,3,2501
"Apr 01, 2026 @ 05:25:52.000",host-034.lab.internal,AV update applied #26,Signature rev 5752 installed on host-034.lab.internal.,2,2502
"Apr 01, 2026 @ 05:26:36.000",host-008.lab.internal,Routine baseline check #27,FIM scan 1596: no drift on host-008.lab.internal.,3,5501
"Apr 01, 2026 @ 05:28:15.000",host-019.lab.internal,DHCP lease renewal #28,Client 10.20.95.195 renewed lease; scope vlan-15.,3,5501
"Apr 01, 2026 @ 05:29:22.000",host-017.lab.internal,Threshold notice #1,CPU queue 2s on host-017.lab.internal; autoscaler notified.,7,5502
"Apr 01, 2026 @ 05:30:38.000",host-041.lab.internal,Threshold notice #2,CPU queue 6s on host-041.lab.internal; autoscaler notified.,4,5502
"Apr 01, 2026 @ 05:31:54.000",host-011.lab.internal,Threshold notice #3,CPU queue 2s on host-011.lab.internal; autoscaler notified.,5,5502
"Apr 01, 2026 @ 05:33:15.000",host-002.lab.internal,Performance advisory #4,Disk latency p95 55ms on volume vol-3 at host-002.lab.internal.,6,5503
"Apr 01, 2026 @ 05:33:41.000",host-004.lab.internal,Netflow burst #5,East-west traffic spike 6863 Mbps to host-004.lab.internal.,6,5502
"Apr 01, 2026 @ 05:34:23.000",host-005.lab.internal,Performance advisory #6,Disk latency p95 43ms on volume vol-11 at host-005.lab.internal.,4,5503
"Apr 01, 2026 @ 05:36:12.000",host-036.lab.internal,Threshold notice #7,CPU queue 4s on host-036.lab.internal; autoscaler notified.,5,5502
"Apr 01, 2026 @ 05:36:45.000",host-014.lab.internal,Netflow burst #8,East-west traffic spike 7415 Mbps to host-014.lab.internal.,7,5502
"Apr 01, 2026 @ 05:38:06.000",host-043.lab.internal,Threshold notice #9,CPU queue 6s on host-043.lab.internal; autoscaler notified.,6,5502
"Apr 01, 2026 @ 05:39:41.000",host-008.lab.internal,Netflow burst #10,East-west traffic spike 7943 Mbps to host-008.lab.internal.,6,5502
"Apr 01, 2026 @ 05:40:24.000",host-002.lab.internal,Threshold notice #11,CPU queue 0s on host-002.lab.internal; autoscaler notified.,4,5502
"Apr 01, 2026 @ 05:41:51.000",host-005.lab.internal,Threshold notice #12,CPU queue 7s on host-005.lab.internal; autoscaler notified.,5,5502
"Apr 01, 2026 @ 05:43:33.000",host-003.lab.internal,Performance advisory #13,Disk latency p95 53ms on volume vol-9 at host-003.lab.internal.,5,5502
"Apr 01, 2026 @ 05:44:27.000",host-043.lab.internal,Performance advisory #14,Disk latency p95 47ms on volume vol-3 at host-043.lab.internal.,5,5503
"Apr 01, 2026 @ 05:45:41.000",host-016.lab.internal,Threshold notice #15,CPU queue 5s on host-016.lab.internal; autoscaler notified.,5,5502
"Apr 01, 2026 @ 05:47:33.000",host-007.lab.internal,Config drift #16,NTP offset 153ms vs stratum-1 on host-007.lab.internal.,5,5503
"Apr 01, 2026 @ 05:47:57.000",host-027.lab.internal,Config drift #17,NTP offset 177ms vs stratum-1 on host-027.lab.internal.,5,5503
"Apr 01, 2026 @ 05:49:08.000",host-026.lab.internal,Performance advisory #18,Disk latency p95 48ms on volume vol-8 at host-026.lab.internal.,4,5502
"Apr 01, 2026 @ 05:50:53.000",host-013.lab.internal,Netflow burst #19,East-west traffic spike 9959 Mbps to host-013.lab.internal.,5,5502
"Apr 01, 2026 @ 05:51:29.000",host-012.lab.internal,Config drift #20,NTP offset 89ms vs stratum-1 on host-012.lab.internal.,4,5503
"Apr 01, 2026 @ 05:52:16.000",host-029.lab.internal,Config drift #21,NTP offset 136ms vs stratum-1 on host-029.lab.internal.,4,5503
"Apr 01, 2026 @ 05:54:11.000",host-006.lab.internal,Performance advisory #22,Disk latency p95 51ms on volume vol-11 at host-006.lab.internal.,4,5502
"Apr 01, 2026 @ 05:55:59.000",host-032.lab.internal,Threshold notice #23,CPU queue 7s on host-032.lab.internal; autoscaler notified.,5,5502
"Apr 01, 2026 @ 05:57:12.000",host-011.lab.internal,Threshold notice #24,CPU queue 0s on host-011.lab.internal; autoscaler notified.,7,5502
"Apr 01, 2026 @ 05:58:12.000",host-030.lab.internal,Performance advisory #25,Disk latency p95 52ms on volume vol-0 at host-030.lab.internal.,7,5503
"Apr 01, 2026 @ 05:59:00.000",host-010.lab.internal,Config drift #26,NTP offset 240ms vs stratum-1 on host-010.lab.internal.,6,5503
"Apr 01, 2026 @ 05:59:36.000",host-038.lab.internal,Netflow burst #27,East-west traffic spike 11528 Mbps to host-038.lab.internal.,5,5502
